PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.16,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.25,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.16,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.32,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.53,roslaunch
7956,aleja,20,0,498908,22148,12672,S,"12,0","0,3",1:50.66,ekf_localizatio
8209,aleja,20,0,871268,42520,16760,S,"10,0","0,6",2:18.73,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"9,0","0,3",1:29.76,robot_state_pub
5766,aleja,20,0,1280912,44432,16516,S,"7,0","0,6",1:49.57,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"6,0","0,3",1:10.88,twist_mux
8280,aleja,20,0,511136,46132,17448,S,"1,0","0,6",0:04.17,rostopic
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.16,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.25,roslaunch
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.32,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.53,roslaunch
7956,aleja,20,0,498908,22148,12672,S,"12,0","0,3",1:50.78,ekf_localizatio
8209,aleja,20,0,871268,42520,16760,S,"11,0","0,6",2:18.84,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"9,0","0,3",1:29.85,robot_state_pub
5766,aleja,20,0,1280912,44432,16516,S,"6,0","0,6",1:49.63,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:10.93,twist_mux
5777,aleja,20,0,348884,19324,10216,S,"1,0","0,3",0:02.17,rosout
8182,aleja,20,0,357588,44880,16692,S,"1,0","0,6",0:02.26,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.17,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.32,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.53,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"9,9","0,6",2:18.94,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"7,9","0,3",1:29.93,robot_state_pub
7956,aleja,20,0,498908,22148,12672,S,"7,9","0,3",1:50.86,ekf_localizatio
5766,aleja,20,0,1280912,44432,16516,S,"6,9","0,6",1:49.70,rosmaster
